cityid,city_name,adm1id,adm1_name,countryid,country_name,regionid,region_name,year,population,scope,sector,sector_code,subsector,subsector_code,activity_amount_mj,co2e_total_ton,notation
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Stationary energy,stationary_energy,Residential buildings,stationary_energy_residential_buildings,212589270471.292,9526081.6897853,
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Stationary energy,stationary_energy,Commercial buildings & facilities,stationary_energy_commercial_buildings,280200068276.4,9296280.8032618,
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Stationary energy,stationary_energy,Institutional buildings & facilities,stationary_energy_institutional_buildings,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Stationary energy,stationary_energy,Industrial buildings & facilities,stationary_energy_industry,21783651862,833315.70640238,
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Stationary energy,stationary_energy,Agriculture,stationary_energy_agriculture_forestry_fisheries,782881841.215694,18612.348921534,
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Stationary energy,stationary_energy,Fugitive emissions,stationary_energy_fugitive_emissions,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Transport,transportation,On-road,transportation_on_road,284889235848.4021,20067936.794506,
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Transport,transportation,Rail,transportation_rail,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Transport,transportation,Waterborne navigation,transportation_waterborne_navigation,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Transport,transportation,Aviation,transportation_aviation,85861921779.376,6123167.7022521,
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Transport,transportation,Off-road,transportation_off_road,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Waste,waste,Solid waste disposal,waste_solid_waste_disposal,,12450819.721725,
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Waste,waste,Biological treatment,waste_biological_treatment,,106064,
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Waste,waste,Incineration and open burning,waste_incineration_open_burning,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Waste,waste,Wastewater,waste_wastewater,,194483.74,
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,IPPU,industry,Industrial process,industry_industrial_processes,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,IPPU,industry,Produce use,industry_product_use,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,AFOLU,agriculture,Livestock,agriculture_live_stock,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,AFOLU,agriculture,Land use,agriculture_land,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,AFOLU,agriculture,Other AFOLU,agriculture_aggregate_sources,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Electricity-only generation,energy_generation_electricity_only,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,CHP Generation,energy_generation_chp_generation,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Heat/cold generation,energy_generation_heat_cold_generation,,,NE
5128581,New York,5128638,New York,6252001,United States,53,North America,2015,8537673,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Local renewable generation,energy_generation_local_renewable_generation,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Stationary energy,stationary_energy,Residential buildings,stationary_energy_residential_buildings,24882577283.912903,911824.01993857,
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Stationary energy,stationary_energy,Commercial buildings & facilities,stationary_energy_commercial_buildings,,,NE
